date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:31:10	419/419	---M--	200	added ('OK')	image/png	date:Tue,%2005%20Aug%202025%2015:54:23%20GMT	https://yeezy.com/cdn-cgi/image/width=16,compression=fast,format=webp,slow-connection-quality=0/https://cdn.swell.store/yzy-prod/68657cf198b68000135b0c23/db138e8f1c6651d2a2a4ae88ea0bd088/wb-01-oldgrey-1-1.png	yeezy.com/cdn-cgi/image/width=16,compression=fast,format=webp,slow-connection-quality=0/https_/cdn.swell.store/yzy-prod/68657cf198b68000135b0c23/db138e8f1c6651d2a2a4ae88ea0bd088/wb-01-oldgrey-1-1.png	(from https://yeezy.com/)
18:31:14	314/314	---M--	200	added ('OK')	image/png	date:Fri,%2008%20Aug%202025%2015:34:48%20GMT	https://yeezy.com/cdn-cgi/image/width=16,compression=fast,format=webp,slow-connection-quality=0/https://cdn.swell.store/yzy-prod/689618ff85337c00121a76ca/46c4b1abd64567dd3453bb943fbae08f/RESIZED-141.png	yeezy.com/cdn-cgi/image/width=16,compression=fast,format=webp,slow-connection-quality=0/https_/cdn.swell.store/yzy-prod/689618ff85337c00121a76ca/46c4b1abd64567dd3453bb943fbae08f/RESIZED-141.png	(from https://yeezy.com/)
18:31:19	275/275	---M--	200	added ('OK')	image/png	date:Fri,%2008%20Aug%202025%2015:33:12%20GMT	https://yeezy.com/cdn-cgi/image/width=16,compression=fast,format=webp,slow-connection-quality=0/https://cdn.swell.store/yzy-prod/6896185e0120930012510a99/7a1623bc770ce86c9ca9695c8a120074/RESIZED-139.png	yeezy.com/cdn-cgi/image/width=16,compression=fast,format=webp,slow-connection-quality=0/https_/cdn.swell.store/yzy-prod/6896185e0120930012510a99/7a1623bc770ce86c9ca9695c8a120074/RESIZED-139.png	(from https://yeezy.com/)
18:31:23	348/348	---M--	200	added ('OK')	image/png	date:Fri,%2008%20Aug%202025%2015:41:57%20GMT	https://yeezy.com/cdn-cgi/image/width=16,compression=fast,format=webp,slow-connection-quality=0/https://cdn.swell.store/yzy-prod/68961ab3741d95001227ff44/08a036ac54fa4b0ecc6cbbbe3931e03a/RESIZED-143.png	yeezy.com/cdn-cgi/image/width=16,compression=fast,format=webp,slow-connection-quality=0/https_/cdn.swell.store/yzy-prod/68961ab3741d95001227ff44/08a036ac54fa4b0ecc6cbbbe3931e03a/RESIZED-143.png	(from https://yeezy.com/)
18:31:28	373/373	---M--	200	added ('OK')	image/png	date:Fri,%2008%20Aug%202025%2016:10:36%20GMT	https://yeezy.com/cdn-cgi/image/width=16,compression=fast,format=webp,slow-connection-quality=0/https://cdn.swell.store/yzy-prod/68962155e3e9a80013adf56e/d58b82c57a2c27439f90edddc75d68ee/RESIZED-153.png	yeezy.com/cdn-cgi/image/width=16,compression=fast,format=webp,slow-connection-quality=0/https_/cdn.swell.store/yzy-prod/68962155e3e9a80013adf56e/d58b82c57a2c27439f90edddc75d68ee/RESIZED-153.png	(from https://yeezy.com/)
18:31:37	381/381	---M--	200	added ('OK')	image/png	date:Fri,%2008%20Aug%202025%2016:10:35%20GMT	https://yeezy.com/cdn-cgi/image/width=16,compression=fast,format=webp,slow-connection-quality=0/https://cdn.swell.store/yzy-prod/689621005c1c3100121b743d/30047dbd68461e4b13f22bc0b712464c/RESIZED-151.png	yeezy.com/cdn-cgi/image/width=16,compression=fast,format=webp,slow-connection-quality=0/https_/cdn.swell.store/yzy-prod/689621005c1c3100121b743d/30047dbd68461e4b13f22bc0b712464c/RESIZED-151.png	(from https://yeezy.com/)
18:31:42	352/352	---M--	200	added ('OK')	image/png	date:Fri,%2008%20Aug%202025%2016:10:35%20GMT	https://yeezy.com/cdn-cgi/image/width=16,compression=fast,format=webp,slow-connection-quality=0/https://cdn.swell.store/yzy-prod/689620a55c1c3100121b73cf/97546d4392c345c3d6a4ee62096e9d9b/RESIZED-149.png	yeezy.com/cdn-cgi/image/width=16,compression=fast,format=webp,slow-connection-quality=0/https_/cdn.swell.store/yzy-prod/689620a55c1c3100121b73cf/97546d4392c345c3d6a4ee62096e9d9b/RESIZED-149.png	(from https://yeezy.com/)
18:31:48	407/407	---M--	200	added ('OK')	image/png	date:Fri,%2008%20Aug%202025%2018:05:55%20GMT	https://yeezy.com/cdn-cgi/image/width=16,compression=fast,format=webp,slow-connection-quality=0/https://cdn.swell.store/yzy-prod/68963c6359367b0012db22f0/26a6c75121a0db6dbfc2f69d517560d3/MENS%20RESIZED-39%20(1).png	yeezy.com/cdn-cgi/image/width=16,compression=fast,format=webp,slow-connection-quality=0/https_/cdn.swell.store/yzy-prod/68963c6359367b0012db22f0/26a6c75121a0db6dbfc2f69d517560d3/MENS%20RESIZED-39%20(1).png	(from https://yeezy.com/)
18:31:48	45798/45798	---M--	200	added ('OK')	image/jpeg	date:Fri,%2008%20Aug%202025%2018:05:55%20GMT	https://yeezy.com/cdn-cgi/image/width=375,height=375,quality=100,compression=fast,slow-connection-quality=80,fit=pad,gravity=center/https://cdn.swell.store/yzy-prod/68963c6359367b0012db22f0/26a6c75121a0db6dbfc2f69d517560d3/MENS%20RESIZED-39%20(1).png	yeezy.com/cdn-cgi/image/width=375,height=375,quality=100,compression=fa/https_/cdn.swell.store/yzy-prod/68963c6359367b0012db22f0/26a6c75121a0db6dbfc2f69d517560d3/MENS%20RESIZED-39%20(1).jpg	(from https://yeezy.com/)
18:31:53	355/355	---M--	200	added ('OK')	image/png	date:Wed,%2006%20Aug%202025%2018:05:47%20GMT	https://yeezy.com/cdn-cgi/image/width=16,compression=fast,format=webp,slow-connection-quality=0/https://cdn.swell.store/yzy-prod/68939815a69c560012449d7a/667ccbec5b426a3304f2b34533d32c28/MENS%20RESIZED-41.png	yeezy.com/cdn-cgi/image/width=16,compression=fast,format=webp,slow-connection-quality=0/https_/cdn.swell.store/yzy-prod/68939815a69c560012449d7a/667ccbec5b426a3304f2b34533d32c28/MENS%20RESIZED-41.png	(from https://yeezy.com/)
18:31:59	407/407	---M--	200	added ('OK')	image/png	date:Wed,%2006%20Aug%202025%2018:05:47%20GMT	https://yeezy.com/cdn-cgi/image/width=16,compression=fast,format=webp,slow-connection-quality=0/https://cdn.swell.store/yzy-prod/689399594ebbfa0012274c6c/a49fb0ae464cd278758a210722af62d0/MENS%20RESIZED-15.png	yeezy.com/cdn-cgi/image/width=16,compression=fast,format=webp,slow-connection-quality=0/https_/cdn.swell.store/yzy-prod/689399594ebbfa0012274c6c/a49fb0ae464cd278758a210722af62d0/MENS%20RESIZED-15.png	(from https://yeezy.com/)
18:32:06	418/418	---M--	200	added ('OK')	image/png	date:Tue,%2005%20Aug%202025%2007:00:40%20GMT	https://yeezy.com/cdn-cgi/image/width=16,compression=fast,format=webp,slow-connection-quality=0/https://cdn.swell.store/yzy-prod/6891abfba8604500126c7a81/bcc6a6b9ef0159527af1a21e0ade93b2/MENS%20RESIZED-23.png	yeezy.com/cdn-cgi/image/width=16,compression=fast,format=webp,slow-connection-quality=0/https_/cdn.swell.store/yzy-prod/6891abfba8604500126c7a81/bcc6a6b9ef0159527af1a21e0ade93b2/MENS%20RESIZED-23.png	(from https://yeezy.com/)
18:32:14	398/398	---M--	200	added ('OK')	image/png	date:Wed,%2006%20Aug%202025%2018:13:28%20GMT	https://yeezy.com/cdn-cgi/image/width=16,compression=fast,format=webp,slow-connection-quality=0/https://cdn.swell.store/yzy-prod/68939b2b1a24350012185837/f5b6c120a612264032ffe0fe926d96ee/MENS%20RESIZED-72.png	yeezy.com/cdn-cgi/image/width=16,compression=fast,format=webp,slow-connection-quality=0/https_/cdn.swell.store/yzy-prod/68939b2b1a24350012185837/f5b6c120a612264032ffe0fe926d96ee/MENS%20RESIZED-72.png	(from https://yeezy.com/)
18:32:21	30817/30817	---M--	200	added ('OK')	image/jpeg	date:Fri,%2001%20Aug%202025%2017:31:11%20GMT	https://yeezy.com/cdn-cgi/image/width=375,height=375,quality=100,compression=fast,slow-connection-quality=80,fit=pad,gravity=center/https://cdn.swell.store/yzy-prod/686568325d79d60012331a1a/cd337e466b8cee07a3a80db51d4d1251/ts-01-black-1_727587bf-e2d6-480e-b8de-8c19a15d1e96.png	yeezy.com/cdn-cgi/image/width=375,height=375,quality=100,compression=fa/https_/cdn.swell.store/yzy-prod/686568325d79d60012331a1a/cd337e466b8cee07a3a80db51d4d1251/ts-01-black-1_727587bf-e2d6-480e-b8de-8c19a15d1e96.jpg	(from https://yeezy.com/)
18:32:28	385/385	---M--	200	added ('OK')	image/png	date:Tue,%2005%20Aug%202025%2002:54:55%20GMT	https://yeezy.com/cdn-cgi/image/width=16,compression=fast,format=webp,slow-connection-quality=0/https://cdn.swell.store/yzy-prod/6865761443629f0012ebb3ff/2fb9ccc5db1568db67ce18560312a43b/ts-02-charcoal-12.png	yeezy.com/cdn-cgi/image/width=16,compression=fast,format=webp,slow-connection-quality=0/https_/cdn.swell.store/yzy-prod/6865761443629f0012ebb3ff/2fb9ccc5db1568db67ce18560312a43b/ts-02-charcoal-12.png	(from https://yeezy.com/)
18:32:34	410/410	---M--	200	added ('OK')	image/png	date:Fri,%2001%20Aug%202025%2017:31:11%20GMT	https://yeezy.com/cdn-cgi/image/width=16,compression=fast,format=webp,slow-connection-quality=0/https://cdn.swell.store/yzy-prod/6865789543629f0012ebba57/762f653ec34755ebe7e3e2236e8b377f/hd-01-black.png	yeezy.com/cdn-cgi/image/width=16,compression=fast,format=webp,slow-connection-quality=0/https_/cdn.swell.store/yzy-prod/6865789543629f0012ebba57/762f653ec34755ebe7e3e2236e8b377f/hd-01-black.png	(from https://yeezy.com/)
18:32:42	409/409	---M--	200	added ('OK')	image/png	date:Tue,%2005%20Aug%202025%2022:58:20%20GMT	https://yeezy.com/cdn-cgi/image/width=16,compression=fast,format=webp,slow-connection-quality=0/https://cdn.swell.store/yzy-prod/68928c62aa2e5a001249d097/c8072a64c07d71726b30fbe51c460da9/HOODIE-3.png	yeezy.com/cdn-cgi/image/width=16,compression=fast,format=webp,slow-connection-quality=0/https_/cdn.swell.store/yzy-prod/68928c62aa2e5a001249d097/c8072a64c07d71726b30fbe51c460da9/HOODIE-3.png	(from https://yeezy.com/)
18:32:50	407/407	---M--	200	added ('OK')	image/png	date:Tue,%2005%20Aug%202025%2022:58:20%20GMT	https://yeezy.com/cdn-cgi/image/width=16,compression=fast,format=webp,slow-connection-quality=0/https://cdn.swell.store/yzy-prod/68928c16aa2e5a001249cf89/0f15aa2500487fa250b2947dbe9c8690/HOODIE-5.png	yeezy.com/cdn-cgi/image/width=16,compression=fast,format=webp,slow-connection-quality=0/https_/cdn.swell.store/yzy-prod/68928c16aa2e5a001249cf89/0f15aa2500487fa250b2947dbe9c8690/HOODIE-5.png	(from https://yeezy.com/)
18:33:15	421/421	---M--	200	added ('OK')	image/png	date:Wed,%2002%20Jul%202025%2018:42:54%20GMT	https://yeezy.com/cdn-cgi/image/width=16,compression=fast,format=webp,slow-connection-quality=0/https://cdn.swell.store/yzy-prod/68657d1698b68000135b0c70/a65297905e6810973f5d1dd5c3791124/wb-01-black-1.png	yeezy.com/cdn-cgi/image/width=16,compression=fast,format=webp,slow-connection-quality=0/https_/cdn.swell.store/yzy-prod/68657d1698b68000135b0c70/a65297905e6810973f5d1dd5c3791124/wb-01-black-1.png	(from https://yeezy.com/)
18:33:28	403/403	---M--	200	added ('OK')	image/png	date:Thu,%2007%20Aug%202025%2000:51:13%20GMT	https://yeezy.com/cdn-cgi/image/width=16,compression=fast,format=webp,slow-connection-quality=0/https://cdn.swell.store/yzy-prod/6893f872c252fc0013dbd97d/08517b75229b670e5817ad7d0e84c2c2/MENS%20RESIZED-25.png	yeezy.com/cdn-cgi/image/width=16,compression=fast,format=webp,slow-connection-quality=0/https_/cdn.swell.store/yzy-prod/6893f872c252fc0013dbd97d/08517b75229b670e5817ad7d0e84c2c2/MENS%20RESIZED-25.png	(from https://yeezy.com/)
18:33:53	405/405	---M--	200	added ('OK')	image/png	date:Mon,%2004%20Aug%202025%2012:32:33%20GMT	https://yeezy.com/cdn-cgi/image/width=16,compression=fast,format=webp,slow-connection-quality=0/https://cdn.swell.store/yzy-prod/68909c7c1d26430012c136c8/0a17434ad2c8b6af4087a847e685782e/MENS%2520RESIZED-19.png	yeezy.com/cdn-cgi/image/width=16,compression=fast,format=webp,slow-connection-quality=0/https_/cdn.swell.store/yzy-prod/68909c7c1d26430012c136c8/0a17434ad2c8b6af4087a847e685782e/MENS%20RESIZED-19.png	(from https://yeezy.com/)
18:34:12	404/404	---M--	200	added ('OK')	image/png	date:Thu,%2007%20Aug%202025%2000:47:15%20GMT	https://yeezy.com/cdn-cgi/image/width=16,compression=fast,format=webp,slow-connection-quality=0/https://cdn.swell.store/yzy-prod/6893f785cd68f30012fad699/3eb7d1aade4971369dedf7b31bdba750/MENS%20RESIZED-80%20(1).png	yeezy.com/cdn-cgi/image/width=16,compression=fast,format=webp,slow-connection-quality=0/https_/cdn.swell.store/yzy-prod/6893f785cd68f30012fad699/3eb7d1aade4971369dedf7b31bdba750/MENS%20RESIZED-80%20(1).png	(from https://yeezy.com/)
18:34:13	28896/28896	---M--	200	added ('OK')	image/jpeg	date:Thu,%2007%20Aug%202025%2000:47:15%20GMT	https://yeezy.com/cdn-cgi/image/width=375,height=375,quality=100,compression=fast,slow-connection-quality=80,fit=pad,gravity=center/https://cdn.swell.store/yzy-prod/6893f785cd68f30012fad699/3eb7d1aade4971369dedf7b31bdba750/MENS%20RESIZED-80%20(1).png	yeezy.com/cdn-cgi/image/width=375,height=375,quality=100,compression=fa/https_/cdn.swell.store/yzy-prod/6893f785cd68f30012fad699/3eb7d1aade4971369dedf7b31bdba750/MENS%20RESIZED-80%20(1).jpg	(from https://yeezy.com/)
18:34:28	401/401	---M--	200	added ('OK')	image/png	date:Mon,%2004%20Aug%202025%2011:58:25%20GMT	https://yeezy.com/cdn-cgi/image/width=16,compression=fast,format=webp,slow-connection-quality=0/https://cdn.swell.store/yzy-prod/689095cdb099a3001272b81c/d2f62363ca21c684c975ab62ff8225ac/MENS%2520RESIZED-62.png	yeezy.com/cdn-cgi/image/width=16,compression=fast,format=webp,slow-connection-quality=0/https_/cdn.swell.store/yzy-prod/689095cdb099a3001272b81c/d2f62363ca21c684c975ab62ff8225ac/MENS%20RESIZED-62.png	(from https://yeezy.com/)
